日期,蔬菜品类,批发价格
2020-08-04,水生根茎类,12.02
2020-08-05,花叶类,5.463888889
2020-08-05,辣椒类,8.16
2020-08-05,茄类,3.97
2020-08-05,食用菌,6.545714286
2020-08-05,花菜类,6.72
2020-08-05,水生根茎类,12.01666667
2020-08-06,花叶类,5.079411765
2020-08-06,辣椒类,7.932727273
2020-08-06,茄类,4.063333333
2020-08-06,食用菌,6.12625
2020-08-06,花菜类,6.68
2020-08-06,水生根茎类,11.88666667
2020-08-07,花叶类,5.392941176
2020-08-07,辣椒类,7.35
2020-08-07,茄类,3.803333333
2020-08-07,食用菌,5.19
2020-08-07,花菜类,6.68
2020-08-07,水生根茎类,10.2075
2020-08-08,花叶类,5.43125
2020-08-08,辣椒类,7.28625
2020-08-08,茄类,3.123333333
2020-08-08,食用菌,5.395833333
2020-08-08,花菜类,6.62
2020-08-08,水生根茎类,10.2275
2020-08-09,花叶类,5.938823529
2020-08-09,辣椒类,7.697
2020-08-09,茄类,3.06
2020-08-09,食用菌,5.253
2020-08-09,花菜类,7.29
2020-08-09,水生根茎类,11.87
2020-08-10,花叶类,4.950666667
2020-08-10,辣椒类,7.257777778
2020-08-10,茄类,2.82
2020-08-10,食用菌,8.086
2020-08-10,花菜类,7.645
2020-08-10,水生根茎类,10.825
2020-08-11,花叶类,5.003333333
2020-08-11,辣椒类,7.198
2020-08-11,茄类,2.836666667
2020-08-11,食用菌,8.102
2020-08-11,花菜类,7.14
2020-08-11,水生根茎类,10.6275
2020-08-12,花叶类,5.023571429
2020-08-12,辣椒类,7.209090909
2020-08-12,茄类,3.51
2020-08-12,食用菌,7.27
2020-08-12,花菜类,6.86
2020-08-12,水生根茎类,10.6275
2020-08-13,花叶类,4.335333333
2020-08-13,辣椒类,7.24
2020-08-13,茄类,2.88
2020-08-13,食用菌,8.338
2020-08-13,花菜类,7.03
2020-08-13,水生根茎类,11.43666667
2020-08-14,花叶类,4.802666667
2020-08-14,辣椒类,6.895
2020-08-14,茄类,4.263333333
2020-08-14,食用菌,5.886
2020-08-14,花菜类,6.49
2020-08-14,水生根茎类,8.5825
2020-08-15,花叶类,4.925714286
2020-08-15,辣椒类,6.611
2020-08-15,茄类,4.34
2020-08-15,食用菌,5.916
2020-08-15,花菜类,6.58
2020-08-15,水生根茎类,8.5025
2020-08-16,花叶类,4.302307692
2020-08-16,辣椒类,6.586
2020-08-16,茄类,4.363333333
2020-08-16,食用菌,6.38
2020-08-16,花菜类,6.67
2020-08-16,水生根茎类,10.99
2020-08-17,花叶类,4.319230769
2020-08-17,辣椒类,6.423333333
2020-08-17,茄类,4.42
2020-08-17,食用菌,6.347777778
2020-08-17,花菜类,6.43
2020-08-17,水生根茎类,12.38666667
2020-08-18,花叶类,4.353846154
2020-08-18,辣椒类,5.79
2020-08-18,茄类,4.406666667
2020-08-18,食用菌,5.8925
2020-08-18,花菜类,6.29
2020-08-18,水生根茎类,12.76
2020-08-19,花叶类,4.757857143
2020-08-19,辣椒类,5.61
2020-08-19,茄类,4.566666667
2020-08-19,食用菌,6.097
2020-08-19,花菜类,6.08
2020-08-19,水生根茎类,11.72333333
2020-08-20,花叶类,4.32
2020-08-20,辣椒类,5.298
2020-08-20,茄类,5.066666667
2020-08-20,食用菌,5.713636364
2020-08-20,花菜类,6.05
2020-08-20,水生根茎类,11.36
2020-08-21,花叶类,4.476153846
2020-08-21,辣椒类,5.386
2020-08-21,茄类,5.22
2020-08-21,食用菌,5.971111111
2020-08-21,花菜类,5.96
2020-08-21,水生根茎类,8.3925
2020-08-22,花叶类,4.379285714
2020-08-22,辣椒类,5.666666667
2020-08-22,茄类,5.416666667
2020-08-22,食用菌,6.566666667
2020-08-22,花菜类,5.855
2020-08-22,水生根茎类,9.546666667
2020-08-23,花叶类,4.500769231
2020-08-23,辣椒类,5.354444444
2020-08-23,茄类,6.313333333
2020-08-23,食用菌,6.97625
2020-08-23,花菜类,6.135
2020-08-23,水生根茎类,8.535
2020-08-24,花叶类,4.482666667
2020-08-24,辣椒类,5.539
2020-08-24,茄类,5.52
2020-08-24,食用菌,6.321111111
2020-08-24,花菜类,6.685
2020-08-24,水生根茎类,11.08666667
2020-08-25,花叶类,4.663571429
2020-08-25,辣椒类,5.547777778
2020-08-25,茄类,6.103333333
2020-08-25,食用菌,6.361111111
2020-08-25,花菜类,6.81
2020-08-25,水生根茎类,11.11666667
2020-08-26,花叶类,4.735714286
2020-08-26,辣椒类,5.356
2020-08-26,茄类,6.586666667
2020-08-26,食用菌,6.772222222
2020-08-26,花菜类,6.965
2020-08-26,水生根茎类,11.13
2020-08-27,花叶类,4.804285714
2020-08-27,辣椒类,5.296
2020-08-27,茄类,6.36
2020-08-27,食用菌,6.66
2020-08-27,花菜类,6.805
2020-08-27,水生根茎类,10.915
2020-08-28,花叶类,4.899230769
2020-08-28,辣椒类,5.183333333
2020-08-28,茄类,6.18
2020-08-28,食用菌,6.29
2020-08-28,花菜类,6.89
2020-08-28,水生根茎类,10.9225
2020-08-29,花叶类,5.033846154
2020-08-29,辣椒类,5.555
2020-08-29,茄类,6.13
2020-08-29,食用菌,6.371818182
2020-08-29,花菜类,6.91
2020-08-29,水生根茎类,13.705
2020-08-30,花叶类,4.79
2020-08-30,辣椒类,5.304
2020-08-30,茄类,6.323333333
2020-08-30,食用菌,6.394545455
2020-08-30,花菜类,6.71
2020-08-30,水生根茎类,10.94
2020-08-31,花叶类,4.803571429
2020-08-31,辣椒类,5.45
2020-08-31,茄类,6.88
2020-08-31,食用菌,8.198888889
2020-08-31,花菜类,6.165
2020-08-31,水生根茎类,11.08333333
2020-09-01,花叶类,4.889166667
2020-09-01,辣椒类,5.541
2020-09-01,茄类,6.963333333
2020-09-01,食用菌,6.744444444
2020-09-01,花菜类,6.52
2020-09-01,水生根茎类,11.15333333
2020-09-02,花叶类,4.522857143
2020-09-02,辣椒类,4.929
2020-09-02,茄类,7.153333333
2020-09-02,食用菌,6.663
2020-09-02,花菜类,6.39
2020-09-02,水生根茎类,11.16
2020-09-03,花叶类,4.565384615
2020-09-03,辣椒类,5.202
2020-09-03,茄类,7.023333333
2020-09-03,食用菌,7.191111111
2020-09-03,花菜类,6.035
2020-09-03,水生根茎类,5.675
2020-09-04,花叶类,4.451428571
2020-09-04,辣椒类,5.866
2020-09-04,茄类,7.103333333
2020-09-04,食用菌,6.641
2020-09-04,花菜类,5.865
2020-09-04,水生根茎类,5.375
2020-09-05,花叶类,4.390666667
2020-09-05,辣椒类,5.476666667
2020-09-05,茄类,7.895
2020-09-05,食用菌,6.380909091
2020-09-05,花菜类,5.985
2020-09-05,水生根茎类,5.135
2020-09-06,花叶类,4.306
2020-09-06,辣椒类,6.258
2020-09-06,茄类,7.67
2020-09-06,食用菌,6.387272727
2020-09-06,花菜类,6.14
2020-09-06,水生根茎类,5.12
2020-09-07,花叶类,4.32
2020-09-07,辣椒类,6.137272727
2020-09-07,茄类,7.3525
2020-09-07,食用菌,6.701
2020-09-07,花菜类,6.115
2020-09-07,水生根茎类,5.155
2020-09-08,花叶类,4.218125
2020-09-08,辣椒类,6.05
2020-09-08,茄类,7.3
2020-09-08,食用菌,7.13
2020-09-08,花菜类,6.38
2020-09-08,水生根茎类,5.2
2020-09-09,花叶类,4.294
2020-09-09,辣椒类,6.243
2020-09-09,茄类,7.325
2020-09-09,食用菌,6.644444444
2020-09-09,花菜类,6.57
2020-09-09,水生根茎类,5.485
2020-09-10,花叶类,4.361428571
2020-09-10,辣椒类,6.440909091
2020-09-10,茄类,7.095
2020-09-10,食用菌,6.496
2020-09-10,花菜类,7.07
2020-09-10,水生根茎类,5.485
2020-09-11,花叶类,4.226428571
2020-09-11,辣椒类,6.587777778
2020-09-11,茄类,5.74
2020-09-11,食用菌,5.67
2020-09-11,花菜类,6.81
2020-09-11,水生根茎类,5.315
2020-09-12,花叶类,4.209333333
2020-09-12,辣椒类,6.900909091
2020-09-12,茄类,6.6875
2020-09-12,食用菌,6.285454545
2020-09-12,花菜类,6.97
2020-09-12,水生根茎类,5.6
2020-09-13,花叶类,4.165714286
2020-09-13,辣椒类,7.6175
2020-09-13,茄类,5.15
2020-09-13,食用菌,5.972
2020-09-13,花菜类,6.79
2020-09-13,水生根茎类,5.313333333
2020-09-14,花叶类,4.335
2020-09-14,辣椒类,6.948
2020-09-14,茄类,4.4
2020-09-14,食用菌,8.204285714
2020-09-14,花菜类,6.22
2020-09-14,水生根茎类,5.485
2020-09-15,花叶类,3.983125
2020-09-15,辣椒类,6.943333333
2020-09-15,茄类,4.223333333
2020-09-15,食用菌,6.837
2020-09-15,花菜类,6.23
2020-09-15,水生根茎类,5.835
2020-09-16,花叶类,4.610588235
2020-09-16,辣椒类,7.513
2020-09-16,茄类,4.523333333
2020-09-16,食用菌,7.104444444
2020-09-16,花菜类,6.28
2020-09-16,水生根茎类,6.25
2020-09-17,花叶类,4.42
2020-09-17,辣椒类,7.52
2020-09-17,茄类,4.776666667
2020-09-17,食用菌,6.504444444
2020-09-17,花菜类,6.33
2020-09-17,水生根茎类,5.5
2020-09-18,食用菌,7.711538462
2020-09-18,花叶类,3.921764706
2020-09-18,辣椒类,7.714
2020-09-18,茄类,4.4
2020-09-18,花菜类,6.215
2020-09-18,水生根茎类,6.3
2020-09-19,花叶类,3.833333333
2020-09-19,辣椒类,7.204
2020-09-19,茄类,4.443333333
2020-09-19,食用菌,6.65
2020-09-19,花菜类,6.035
2020-09-19,水生根茎类,6.36
2020-09-20,花叶类,3.9375
2020-09-20,辣椒类,7.074
2020-09-20,茄类,3.963333333
2020-09-20,食用菌,6.565555556
2020-09-20,花菜类,5.53
2020-09-20,水生根茎类,6.53
2020-09-21,花叶类,3.508
2020-09-21,辣椒类,7.784444444
2020-09-21,茄类,4.163333333
2020-09-21,食用菌,5.962
2020-09-21,花菜类,5.78
2020-09-21,水生根茎类,5.77
2020-09-22,花叶类,4.185625
2020-09-22,辣椒类,8.713
2020-09-22,茄类,3.95
2020-09-22,食用菌,12.24083333
2020-09-22,花菜类,6.125
2020-09-22,水生根茎类,7.29
2020-09-23,花叶类,4.246666667
2020-09-23,辣椒类,9.65
2020-09-23,茄类,4.166666667
2020-09-23,食用菌,7.834615385
2020-09-23,花菜类,6.45
2020-09-23,水生根茎类,10.4
2020-09-24,花叶类,4.524117647
2020-09-24,辣椒类,8.765
2020-09-24,茄类,4.14
2020-09-24,食用菌,13.53307692
2020-09-24,花菜类,7.89
2020-09-24,水生根茎类,6.835
2020-09-25,花叶类,4.8715
2020-09-25,辣椒类,8.867
2020-09-25,茄类,4.123333333
2020-09-25,食用菌,12.44133333
2020-09-25,花菜类,7.855
2020-09-25,水生根茎类,6.895
2020-09-26,花叶类,4.744444444
2020-09-26,辣椒类,8.78
2020-09-26,茄类,4.116666667
2020-09-26,食用菌,12.48666667
2020-09-26,花菜类,7.435
2020-09-26,水生根茎类,6.935
2020-09-27,食用菌,8.149333333
2020-09-27,花叶类,5.563333333
2020-09-27,辣椒类,8.719
2020-09-27,茄类,4.136666667
2020-09-27,花菜类,7.41
2020-09-27,水生根茎类,6.91
2020-09-28,食用菌,8.022307692
2020-09-28,花叶类,5.191333333
2020-09-28,辣椒类,9.063
2020-09-28,茄类,4.113333333
2020-09-28,花菜类,7.5
2020-09-28,水生根茎类,6.915
2020-09-29,花叶类,5.06875
2020-09-29,辣椒类,8.931
2020-09-29,茄类,4.073333333
2020-09-29,食用菌,6.641538462
2020-09-29,花菜类,7.24
2020-09-29,水生根茎类,6.845
2020-09-30,花叶类,5.06375
2020-09-30,辣椒类,8.713
2020-09-30,茄类,3.94
2020-09-30,食用菌,7.122307692
2020-09-30,花菜类,6.995
2020-09-30,水生根茎类,6.665
2020-10-01,花叶类,5.448125
2020-10-01,辣椒类,8.571
2020-10-01,茄类,3.686666667
2020-10-01,食用菌,6.214166667
2020-10-01,花菜类,7.01
2020-10-01,水生根茎类,6.31
2020-10-02,花叶类,5.173529412
2020-10-02,辣椒类,8.575
2020-10-02,茄类,3.763333333
2020-10-02,食用菌,6.945384615
2020-10-02,花菜类,6.895
2020-10-02,水生根茎类,6.16
2020-10-03,花叶类,5.077857143
2020-10-03,辣椒类,8.35
2020-10-03,茄类,3.89
2020-10-03,食用菌,7.006153846
2020-10-03,花菜类,6.99
2020-10-03,水生根茎类,6.16
2020-10-04,花叶类,4.616923077
2020-10-04,辣椒类,8.635555556
2020-10-04,茄类,3.946666667
2020-10-04,食用菌,7.11
2020-10-04,花菜类,6.11
2020-10-04,水生根茎类,5.865
2020-10-05,花叶类,4.944285714
2020-10-05,辣椒类,8.662222222
2020-10-05,茄类,3.893333333
2020-10-05,食用菌,7.017857143
2020-10-05,花菜类,6.23
2020-10-05,水生根茎类,5.86
2020-10-06,花叶类,5.102666667
2020-10-06,辣椒类,8.93
2020-10-06,茄类,4.0175
2020-10-06,食用菌,7.065714286
2020-10-06,花菜类,5.97
2020-10-06,水生根茎类,5.855
2020-10-07,花叶类,5.315
2020-10-07,辣椒类,9.345555556
2020-10-07,茄类,4.085
2020-10-07,食用菌,6.984615385
2020-10-07,花菜类,5.815
2020-10-07,水生根茎类,5.855
2020-10-08,花叶类,5.330714286
2020-10-08,辣椒类,9.752222222
2020-10-08,茄类,4.1575
2020-10-08,食用菌,6.997692308
2020-10-08,花菜类,6
2020-10-08,水生根茎类,5.835
2020-10-09,花叶类,4.848571429
2020-10-09,辣椒类,9.906666667
2020-10-09,茄类,4.22
2020-10-09,食用菌,7.015384615
2020-10-09,花菜类,6
2020-10-09,水生根茎类,5.72
2020-10-10,花叶类,5.206666667
2020-10-10,辣椒类,9.966666667
2020-10-10,茄类,4.28
2020-10-10,食用菌,7.029230769
2020-10-10,花菜类,6.165
2020-10-10,水生根茎类,5.63
2020-10-11,花叶类,5.334285714
2020-10-11,辣椒类,10.10777778
2020-10-11,茄类,4.4125
2020-10-11,食用菌,6.24
2020-10-11,花菜类,6.235
2020-10-11,水生根茎类,5.57
2020-10-12,花叶类,5.275
2020-10-12,辣椒类,10.07666667
2020-10-12,茄类,4.63
2020-10-12,食用菌,7.432727273
2020-10-12,花菜类,6.105
2020-10-12,水生根茎类,5.645
2020-10-13,花叶类,4.896666667
2020-10-13,辣椒类,9.495555556
2020-10-13,茄类,4.71
2020-10-13,食用菌,6.929166667
2020-10-13,花菜类,5.655
2020-10-13,水生根茎类,5.34
2020-10-14,花叶类,4.978571429
2020-10-14,辣椒类,9.765555556
2020-10-14,茄类,4.62
2020-10-14,食用菌,6.81
2020-10-14,花菜类,5.275
2020-10-14,水生根茎类,5.66
2020-10-15,花叶类,4.397142857
2020-10-15,辣椒类,9.702222222
2020-10-15,茄类,4.645
2020-10-15,食用菌,5.916923077
2020-10-15,花菜类,5.065
2020-10-15,水生根茎类,5.8
2020-10-16,花叶类,4.286
2020-10-16,辣椒类,9.502222222
2020-10-16,茄类,4.6425
2020-10-16,食用菌,5.728333333
2020-10-16,花菜类,5.075
2020-10-16,水生根茎类,5.8
2020-10-17,花叶类,4.904705882
2020-10-17,辣椒类,9.01
2020-10-17,茄类,4.5525
2020-10-17,食用菌,5.798461538
2020-10-17,花菜类,4.91
2020-10-17,水生根茎类,5.8
2020-10-18,花叶类,4.869411765
2020-10-18,辣椒类,8.726
2020-10-18,茄类,4.5075
2020-10-18,食用菌,5.780769231
2020-10-18,花菜类,4.95
2020-10-18,水生根茎类,5.8
2020-10-19,花叶类,4.978125
2020-10-19,辣椒类,8.878
2020-10-19,茄类,4.5675
2020-10-19,食用菌,5.755454545
2020-10-19,花菜类,4.91
2020-10-19,水生根茎类,5.69
2020-10-20,花叶类,4.955
2020-10-20,辣椒类,8.8
2020-10-20,茄类,4.5775
2020-10-20,食用菌,6.774166667
2020-10-20,花菜类,5.025
2020-10-20,水生根茎类,5.71
2020-10-21,花叶类,4.610666667
2020-10-21,辣椒类,8.435555556
2020-10-21,茄类,4.5875
2020-10-21,食用菌,4.702
2020-10-21,花菜类,5.11
2020-10-21,水生根茎类,5.8
2020-10-22,花叶类,5.0525
2020-10-22,辣椒类,9.51
2020-10-22,茄类,4.495
2020-10-22,食用菌,4.784
2020-10-22,花菜类,5.38
2020-10-22,水生根茎类,5.8
2020-10-23,花叶类,5.072666667
2020-10-23,辣椒类,9.815
2020-10-23,茄类,4.4575
2020-10-23,食用菌,4.553
2020-10-23,花菜类,5.395
2020-10-23,水生根茎类,5.445
2020-10-24,花叶类,4.696666667
2020-10-24,辣椒类,11.202
2020-10-24,茄类,4.34
2020-10-24,食用菌,4.745454545
2020-10-24,花菜类,5.34
2020-10-24,水生根茎类,5.6
2020-10-25,花叶类,4.685294118
2020-10-25,辣椒类,11.256
2020-10-25,茄类,4.455
2020-10-25,食用菌,4.905454545
2020-10-25,花菜类,5.63
2020-10-25,水生根茎类,5.78
2020-10-26,花叶类,5.01
2020-10-26,辣椒类,11.29
2020-10-26,茄类,4.463333333
2020-10-26,食用菌,4.916363636
2020-10-26,花菜类,5.78
2020-10-26,水生根茎类,5.8
2020-10-27,花叶类,4.894117647
2020-10-27,辣椒类,10.49222222
2020-10-27,茄类,4.495
2020-10-27,食用菌,4.64
2020-10-27,花菜类,5.765
2020-10-27,水生根茎类,5.8
2020-10-28,花叶类,4.840588235
2020-10-28,辣椒类,11.493
2020-10-28,茄类,4.525
2020-10-28,食用菌,4.825454545
2020-10-28,花菜类,5.68
2020-10-28,水生根茎类,5.8
2020-10-29,花叶类,4.710555556
2020-10-29,辣椒类,11.557
2020-10-29,茄类,4.535
2020-10-29,食用菌,4.792727273
2020-10-29,花菜类,5.68
2020-10-29,水生根茎类,5.8
2020-10-30,花叶类,4.527894737
2020-10-30,辣椒类,11.568
2020-10-30,茄类,4.51
2020-10-30,食用菌,10.01166667
2020-10-30,花菜类,5.635
2020-10-30,水生根茎类,5.8
2020-10-31,花叶类,4.117058824
2020-10-31,辣椒类,11.476
2020-10-31,茄类,4.4675
2020-10-31,食用菌,9.974166667
2020-10-31,花菜类,5.515
2020-10-31,水生根茎类,5.8
2020-11-01,花叶类,4.126111111
2020-11-01,辣椒类,11.806
2020-11-01,茄类,4.4525
2020-11-01,食用菌,4.229090909
2020-11-01,花菜类,5.4
2020-11-01,水生根茎类,5.8
2020-11-02,花叶类,3.948125
2020-11-02,辣椒类,12.90111111
2020-11-02,茄类,4.49
2020-11-02,食用菌,4.696363636
2020-11-02,花菜类,5.3
2020-11-02,水生根茎类,5.8
2020-11-03,花叶类,3.869375
2020-11-03,辣椒类,12.084
2020-11-03,茄类,4.3675
2020-11-03,食用菌,4.688181818
2020-11-03,花菜类,4.21
2020-11-03,水生根茎类,5.65
2020-11-04,花叶类,3.84
2020-11-04,辣椒类,11.38444444
2020-11-04,茄类,4.3375
2020-11-04,食用菌,5.031818182
2020-11-04,花菜类,3.955
2020-11-04,水生根茎类,5.8
2020-11-05,花叶类,3.725
2020-11-05,辣椒类,11.964
2020-11-05,茄类,4.3175
2020-11-05,食用菌,5.031818182
2020-11-05,花菜类,3.825
2020-11-05,水生根茎类,5.8
2020-11-06,花叶类,3.965294118
2020-11-06,辣椒类,11.909
2020-11-06,茄类,4.2
2020-11-06,食用菌,4.733
2020-11-06,花菜类,3.885
2020-11-06,水生根茎类,5.61
2020-11-07,花叶类,3.498823529
2020-11-07,辣椒类,11.42
2020-11-07,茄类,4.0375
2020-11-07,食用菌,4.684
2020-11-07,花菜类,3.86
2020-11-07,水生根茎类,5.79
2020-11-08,花叶类,4.0175
2020-11-08,辣椒类,11.324
2020-11-08,茄类,4.075
2020-11-08,食用菌,4.560909091
2020-11-08,花菜类,3.855
2020-11-08,水生根茎类,5.8
2020-11-09,花叶类,3.942352941
2020-11-09,辣椒类,11.148
2020-11-09,茄类,4.095
2020-11-09,食用菌,4.474545455
2020-11-09,花菜类,3.81
2020-11-09,水生根茎类,5.8
2020-11-10,花叶类,3.856875
2020-11-10,辣椒类,11.096
2020-11-10,茄类,4.2225
2020-11-10,食用菌,4.47
2020-11-10,花菜类,3.81
2020-11-10,水生根茎类,5.8
2020-11-11,花叶类,5.53
2020-11-11,辣椒类,10.887
2020-11-11,茄类,4.2575
2020-11-11,食用菌,4.552
2020-11-11,花菜类,3.735
2020-11-11,水生根茎类,7.685
2020-11-12,花叶类,5.333684211
2020-11-12,辣椒类,10.893
2020-11-12,茄类,4.16
2020-11-12,食用菌,9.193076923
2020-11-12,花菜类,3.465
2020-11-12,水生根茎类,7.78
2020-11-13,花叶类,3.804117647
2020-11-13,辣椒类,11.11444444
2020-11-13,茄类,4.24
2020-11-13,食用菌,4.879090909
2020-11-13,花菜类,3.625
2020-11-13,水生根茎类,7.78
